file_path,file_name,file_size,sha1,md5,sha256,first_50_bytes_hex,detected_type,yara_matches
G:/Users\win10secu3\Documents\File\File083,File083,124,5355854158f0f85378e0e61a6176f12e805af563,d324ff068ad2ee0ce710cfe951697116,07c2b8430a74a8ac1622b5223d7b11b1cdfbc24db0e0b34ef72697c35799a91f,406563686f206f66660d0a736574202f61206e756d3d2572616e646f6d25202525203236202b2036350d0a666f72202f6620,BAT,BATCH_SCRIPT
G:/Users\win10secu3\Documents\File\File084,File084,417316,c514b8f17c465ef3d259d44ba6af4295b568f802,0003f23eb36cf0145bb82e108295b143,8d274a84770ef915b9a2470fa11e0127ca78cff6717552b57a8a155aa3381533,255044462d312e330a25e2e3cfd30a312030206f626a0a3c3c0a2f54797065202f50616765730a2f436f756e742033330a2f,PDF,PDF_DOCUMENT
G:/Users\win10secu3\Documents\File\File085,File085,406205,3163223d1fc12c29ad6a01051f00054c5995f8c4,5a237806a6afec0a40fb433530387001,ef72773db6a85f9958aa9902903f0e901526100d826007770c095467ed72e9e3,504b030414000600080000002100b5cf3e7b02010000bb0200000b00ed015f72656c732f2e72656c7320a2e90128a0000200,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File086,File086,677,c60b117808fc4e70da2fbc77f3a66da0ff9d655c,6130cc3a7797bd20785db9a1e38246bc,5c2ca1f15d4e9c3964785018c1f0a0309b2c64279c1b93cf3116fb71b60b9a0d,425344205a65726f20436c61757365204c6963656e73650d0a0d0a436f7079726967687420286329205b796561725d205b66,TXT,TEXT_FILE
G:/Users\win10secu3\Documents\File\File087,File087,288249,ad9ada5e4004b1892ff0800575ffb3ba1ca2af0e,b4ea3fa8c44c0e05e86e4b0d8859cf0f,0b56a46148fe47c91eb72148db0d6948ba562aea7431e4b71eb5cd855ac0f1a3,504b0304140006000800000021008fbff13623040000c54e0000130008025b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File088,File088,100,3e089d46050c8b97e53a7892ff27fce5577062e9,822123f73ba273c1a622f5d5cf32633b,5cdf52caf1a723074afda063ada5d669fa3035e4122618a1379530863b6ff471,406563686f206f66660d0a666f72202f6c2025256920696e2028312c312c33322920646f20280d0a20202020736574202f61,BAT,BATCH_SCRIPT
G:/Users\win10secu3\Documents\File\File089,File089,180248,3eea1966f23ac6499d0cb9a013a1d14fa1919fca,905363c4abd5f39bc6f98ff3e25b0281,34452eded8f8e27c105408e04149ed8de01b80fb4f05e8683ba24e831554734c,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f,JPEG,JPEG_IMAGE
G:/Users\win10secu3\Documents\File\File090,File090,169745,20c0b1492e950b392bf8088f673a5bb9072983cc,3e736f0149faed08b112e43245750aa8,bd72109e3820a742b32a683a315f5bc0512250da6dcb4c46744af3e85f22da12,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f,JPEG,JPEG_IMAGE
G:/Users\win10secu3\Documents\File\File091,File091,494,5b487a6cd44e96db251408822b2f08c833f77152,00cf085bfe51c5de71ff776ac8257e34,22711f384d3443a30000d7829ff71f09745995c935bfd2e5f730884a4aa557a9,202020202020202020202020444f205748415420544845204655434b20594f552057414e5420544f205055424c4943204c49,TXT,TEXT_FILE
G:/Users\win10secu3\Documents\File\File092,File092,412847,47a126f450d91264f4a399c52d25efb622d2a169,cb22ec32b6b7d83582b7fda7d682ff89,4cd742b67eab294606c6f7813618af6d5824c2fefdc7469941a7f4394d8c3d12,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000,EXE,PE_EXECUTABLE;TEXT_FILE
G:/Users\win10secu3\Documents\File\File093,File093,3038333,2cc913d580f766965d2a1c95cc60303f84f5dece,8a0b5139a1e35f636b28893cb6436fb9,a3c1db4b5a48165f66b1c52610c8c3c4232417756cf6f638a273020cd7eb8707,504b0304140006000800000021009d7c732ae3010000b50c0000130008025b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File094,File094,62950,6e3978345a445e7e659069466f1707e46f8c15b7,d46229b61ac5fa694f1e5547d7cf424e,c5f3ac4a574e2bc4485f118c2861d93f6bdc8668cd28bb307fbd685fc98a26ed,504b03041400060008000000210081717d3cf8010000ba0c00001300cd015b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File095,File095,259805,e8039cd053f2974edaa188541159dfe12bea125f,bb24a4f283eeeb0a5b6a63256e197fad,bc00e73aa9064d4acca54d5b4d69bf2e7182f31169fd8ad0a214ed6b306a7b0c,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000,EXE,PE_EXECUTABLE;TEXT_FILE
G:/Users\win10secu3\Documents\File\File096,File096,187180,f426e87d01f2d3d46e2217e053ffaf2b8f518511,6b8f2e87dfddec9238fb7252e63ad558,188899ce3ec824a842b71508e6a2b8fe96bb96d4bd7be338042a88df447f11b2,504b030414000600080000002100d571953ee10100007a090000130008025b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File097,File097,132678,fe10fede7cc3507280bc6913686a0488224abf47,d9b96769f85876192c5efcfa556ab7f4,98758513eab9dec8874b5bbe1c651544721007d344f9d8945c95c76a70a20bf9,ffd9ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f,UNKNOWN,UNIDENTIFIED_FILE_TYPE
G:/Users\win10secu3\Documents\File\File098,File098,1684054,78146598cdd205e741b122cf067352b1d7ec9cb7,e23a82888ff953e592c9935f447348e7,a920e0ea11d2ba741547e289f88de354c5719366a8b3d32cf37db91cd68bd219,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd69ac6ddb75,PNG,PNG_IMAGE
G:/Users\win10secu3\Documents\File\File099,File099,352,a85e740b01159f63bf255c5feaa89eeb7a917766,492b46063a1fa97a738da1a411aad4d1,1458551d93f12aeada0bacd52b1e17f75167cc90fc09cf7504cce2b296352f65,0a22312e20496e7374616c6c20616e6420636f6e66696775726520746865206e656365737361727920646570656e64656e63,TXT,TEXT_FILE
G:/Users\win10secu3\Documents\File\File100,File100,27963,9be1f1347b642ed0becdc2fea3e4f272860a91d5,95b6f67c991027de4266a1e0e7e8d527,8d5335dba28ff705ead7a9f4c83872cdb0908e34f21421580a52c2ec8e72e446,504b0304140006000800000021001e27607088010000ae050000130008025b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File101,File101,12816,cc1fab36ee81c119aae9856ebea2e1735a309b30,b022e52fae3ea7da7b43c8e80ca646a9,655ce7fca0959a0eeb39b41dc7bdf3e094558875fb433067b6abce1be34c7c08,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000,EXE,PE_EXECUTABLE;TEXT_FILE
G:/Users\win10secu3\Documents\File\File102,File102,196042,6bb6cc99155a64d8a0210ffeb2d455c4f67b32fa,63acfbba8e6e6dfba235018deaad7ab6,6f07fef56af1ab119fa864ceb2d4e47a1877573ad12d4adae77d44e854c19552,52494646574156452d312e360d25e2e3cfd30d0a35392030206f626a203c3c2f4c696e656172697a656420312f4c20313936,TXT,TEXT_FILE
G:/Users\win10secu3\Documents\File\File103,File103,7474390,310d4f9892781915a9b1a06be70a145e13089b8a,1f6d1bba0572b67079ce8b19f66377f4,fc04c312670430be2afbd2119e448d49c95d53351777cf308b0f95c94ce254ff,255044462d312e340a25f6e4fcdf0a312030206f626a0a3c3c0a2f54797065202f436174616c6f670a2f56657273696f6e20,PDF,PDF_DOCUMENT;TEXT_FILE
G:/Users\win10secu3\Documents\File\File104,File104,1286316,ceb6330fa3b9c7221d97447fff5201796eedc3d0,315c12e381824fa8187634f37e4d12da,b8c95670d177067441851cf45d2da12f39ec89bf3c9e85dea17a531ffadddfee,504b0304140006000800000021002b54510ed9020000a62400001300ba015b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File105,File105,1426547,1f7d9c86df7456e49ea0bc11e8a6a86c4c07923c,2e8f9dd9eacb56032b79a06250e949a6,67cc5157e5d6ac139820be90071de05cf2d90400bb01f87610ec0b9f1aea9dc2,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfdf993245b76,PNG,PNG_IMAGE
G:/Users\win10secu3\Documents\File\File106,File106,28944,9b6443c7c129555a34070863f8112406befea355,fe975f7601a2126ba0431d2e84cb71d8,f14a00c695926cd69546d07703f863828470524760afbce999abb84a6c13d900,450063006c00690070007300650020005000750062006c006900630020004c006900630065006e007300650020002d002000,TXT,TEXT_FILE
G:/Users\win10secu3\Documents\File\File107,File107,142129,85f3663b76b7a5cf7a6a7509c92bfbffc574a15f,62b5f962ab419a0e7d39693a47f6f8cf,9ae9a368cd561264a95abb5e5198f0b449c17afb9eb4eb93352f399978eac44a,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f,JPEG,JPEG_IMAGE
G:/Users\win10secu3\Documents\File\File108,File108,1544836,90f76c4eefb5140ed52e3cb09aa9dafe54e90501,2083b7845475c50f4d3d0ce43abddf47,c4652a51f423257ee8f535c8ebab08230171ab681f25bfaed0caeaa7f4d91ecf,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfde9b22c4992,PNG,PNG_IMAGE
G:/Users\win10secu3\Documents\File\File109,File109,556987,3ece35df69d47b45cf2f3d6cf825def15af9f531,a8db5b9ff83ebe7e87a3971576158977,03ef8efddfe82b94dd5ab780706f928bfb3c614e21fae4686e9812f06fc000b4,52494646574156452d312e330a25e2e3cfd30a312030206f626a0a3c3c0a2f54797065202f50616765730a2f436f756e7420,TXT,TEXT_FILE
G:/Users\win10secu3\Documents\File\File110,File110,2828,8e542857954afc39520828bcdd48bf58cd3f08eb,8b17d3c1a890583d649554e66df1c9e6,e64f9accbe14dc70a30ded34c08ff2a374e1b69a9ba777693eee04f83986d5af,4d6963726f736f6674205075626c6963204c6963656e736520284d732d504c290d0a0d0a54686973206c6963656e73652067,TXT,TEXT_FILE
G:/Users\win10secu3\Documents\File\File111,File111,146438,d21850fb8f7ff21a8d48aaa9bb928043416924eb,bbfd94f750618d4eb4fc8c3d6a9ff11d,be4813b07294520099ee561ef594396d61726eb042568cdca2bd27af6582e2d5,504b030414000600080000002100458c023abc010000640800001300dc015b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File112,File112,41,82c0591ef8737c0e3a74a0b98e4ba4f9996f1189,c75dbb43150fd2ce4732c77ef9997def,c46cfe45b8b38d43397873bcb7fa2e4d17a4d20727e77ab8d86a66bc8acd9a32,406563686f206f66660d0a6563686f2052616e646f6d20537472696e673a202572616e646f6d250d0a,BAT,BATCH_SCRIPT
G:/Users\win10secu3\Documents\File\File113,File113,160547,eb7d1a333bc894fb8c1a9afa2f70768246f9fa0c,8019c9631f622de19c81a3e19df8b4ed,c556339e370a7f8bc3fd9c1966adad947090eb47a158f906f0a21e292cdc54ee,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f,JPEG,JPEG_IMAGE
G:/Users\win10secu3\Documents\File\File114,File114,527117,83e2b181ad279115050e23bce261ddd082f1b650,9b702a3a329410a22d2877816ece84c5,7662e8701c4b0dd703a57a78f4be877a743315267c28fb78ced2ba2f286bb8dc,255044462d312e330a25e2e3cfd30a312030206f626a0a3c3c0a2f54797065202f50616765730a2f436f756e742032300a2f,PDF,PDF_DOCUMENT
G:/Users\win10secu3\Documents\File\File115,File115,1063014,65e3ec37850f9d2d5ef82f264171611be5414d5c,9e25484b1907186fa37395a4c3b79940,ad1d9a68a9007982adbf3af743d79b5e21bd8048c8ebf513cbed290406c26a4b,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000,EXE,PE_EXECUTABLE;TEXT_FILE
G:/Users\win10secu3\Documents\File\File116,File116,694240,73c3036755de9c36bd22f36f0238d56dfd094240,b153dc51097eaf6bc297727b41d16fa9,358f93a1d4b7abbfbb30e5e1cf307101626b20898ae1979c4cc53238f24ea25e,504b0304140006000800000021007476540cd00100006c0b0000130008025b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File117,File117,64531,6a6a963ea8245d4034c2ebcc01e98e1c6feb3440,0d7783aa3a521e6d64aa1a829c5ea90a,9d21d85165b09487ce74a8b955757454616cda16525b02d2e2043f21de7c0bff,504b0304140006000800000021009cbd3ce3ce010000c40b0000130008025b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File118,File118,1080656,c278fc9f054943a8bc9fb22e322e588d30494a4b,e729b5cc0ca22d973378a595f0c02cf8,624ee8195382d2c555046293546c65c215e25751b75c0aedaa8a842cc22aca11,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000,EXE,PE_EXECUTABLE;TEXT_FILE
G:/Users\win10secu3\Documents\File\File119,File119,555,8960ef02e567df940ebd6bd1f46c06a3565fbcf9,fdea5ae8a8ede952bc58bdb26b47d57a,1b94ffee23b76220566a8507d7e1b0b1940a971e1a700d4496658fcd3b5f5f8c,efbbbf3c230a2e53594e4f505349530a09496e7374616c6c7320547769747465720a2e4445534352495054494f4e0a095468,PS1,PS1_POWERSHELL
G:/Users\win10secu3\Documents\File\File120,File120,572,6d9e489b5b0f096484935299db389aa2fc42332c,0f3ee7c9eb9340ae44a93bfcd27523ba,13a6ac51b47813e8e2bc1fea590c05cc6bc8e3ad964e3518de976d3ebb66f8f9,efbbbf3c230a2e53594e4f505349530a09496e7374616c6c73205468756e646572626972640a2e4445534352495054494f4e,PS1,PS1_POWERSHELL
G:/Users\win10secu3\Documents\File\File121,File121,345850,65b6579a5c5dbe6d42f49031bb4c416a0d36f254,78db5fb8d3b5f11d349384c5c808d94c,efbbc257b678eba3fd5a0d5ed8d5490a4a55fad8e4cd1e491a6b8cfcb3ac6945,504b0304140006000800000021009f04c7c538020000541000001300c2015b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File122,File122,572074,83e586e9a4ccd04f8c77cf11bca3d1339e891340,423e0563fe719395891fa51a000a41ad,af914f86a773bb8a035937c1603ae4cc1576b83dc6e4149bbf3d5f1219500015,504b030414000808080048a5755900000000000000000000000012000000776f72642f6e756d626572696e672e786d6ced9b,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File123,File123,521414,e84d7eedce3c34193739ab5f41af545a56467971,bd0ea60d14eea5566361109dc08af4ae,2c174db14e47a3582b5949c040ee19766c0a1e79810b924609c737ef14a77de6,255044462d312e350d0a25b5b5b5b50d0a312030206f626a0d0a3c3c2f547970652f436174616c6f672f5061676573203220,PDF,PDF_DOCUMENT
G:/Users\win10secu3\Documents\File\File124,File124,173180,eeb2d7a4366130e5523204e5e85832c7a0b2d5be,d2183bc6bc61647833e480df21079df5,115d22a6395054520a5e9e5e3e3d802ed1e2152455daea71b1bbb3fb3818cfcd,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f,JPEG,JPEG_IMAGE
G:/Users\win10secu3\Documents\File\File125,File125,1591997,e182a3a956d31cf17eae094508ecda51bdf0f9b3,b4eb8e22a873e2bff9a2c056c20da979,314241eeef941f55c2be2c9da7d161d5c55e91c020f2fb5e8af91e418a695f4e,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd67b465c975,PNG,PNG_IMAGE
G:/Users\win10secu3\Documents\File\File126,File126,1502871,2515298c9ac3310c0edada1f005041b1dacc8750,eff3a759ab08c2c95fdba8c3cde7c1f8,ec201bdcb6f90ca2416ded4104e63c1a1f08ea14f4c22a2cbda99ee6c8259b6f,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd77b025c979,PNG,PNG_IMAGE
G:/Users\win10secu3\Documents\File\File127,File127,154510,ce30a350e536ad0ae9af5f625a0213d6fbdd8e6b,07167ed9288a6fb574bbb0ad229bf1b0,e188f2817b33216c311c017d1b92e112abcb5bee1a2d4437efc58ab7490cc273,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f,JPEG,JPEG_IMAGE
G:/Users\win10secu3\Documents\File\File128,File128,87,52bf71c606ab98d918cda1fae17ecbdaf58fe34d,c79e9121e51d9373a410b53ae8a3d964,aecfaf78992755f73ee068196d43a6775e2ece96c2770171529e2517633396b6,406563686f206f66660d0a736574202f6120636f64653d2572616e646f6d25202525203235350d0a6563686f204578697469,BAT,BATCH_SCRIPT
G:/Users\win10secu3\Documents\File\File129,File129,217395,c0ec1fdf59c40d422a2fc1d63bc7fb23c845db7a,321ae2c8ccc6a16073c16910ec598891,34768eb405fa77fd6375a3d87e40ad1df08c268171dfaf20230774e6c7612a8f,255044462d312e330a25e2e3cfd30a312030206f626a0a3c3c0a2f54797065202f50616765730a2f436f756e742031390a2f,PDF,PDF_DOCUMENT;TEXT_FILE
G:/Users\win10secu3\Documents\File\File130,File130,100153,5be30928b8af0b3e684761d3e192bc7d52692a0e,1e40fe728f54ab560be84048b37e2136,1e6534a07ccd6b616c9a80228698c73903dce2aad3053db598e9ae8ab4788c1e,504b0304140006000800000021003d578734c6010000bf080000130008025b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File131,File131,26769,25d67d32197d0c32dab7c19404d7d33eb6c3e89b,ec026d8ed4a1aeaeca8eeb4e7bd17715,ca081c2d441688ece3475cdbd3136d3249fe993605e1053eeafbbb441f9486d8,504b030414000600080000002100a674045285010000ac070000130008025b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File132,File132,588152,7c0efa4720977994df80da127d1f3fd7f278d197,d0787c3ca7aab644472e1a015c23597c,d795e506a98b382038c9b29117996c95f2edf9388105fc61347539c8312fbc83,255044462d312e360d25e2e3cfd30d0a3433312030206f626a0d3c3c2f4c696e656172697a656420312f4c20353838313532,PDF,PDF_DOCUMENT
G:/Users\win10secu3\Documents\File\File133,File133,159149,0d7e846937431043925526e882e17ca758adb83d,89e432c568ecd36d5136ce58c923eb9a,0dcaf05f6c9f659cb8e342464316504b7ee03cb0aaae1731307206bb8130d74c,ffd8ffe000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b0c1912130f,JPEG,JPEG_IMAGE
G:/Users\win10secu3\Documents\File\File134,File134,744699,711fdd86b47733ffdeeec89f21a52c540ee7c23a,d6eadec77ea7a7436fb9e5f39bdc9b36,338d8b3851a2bed5444ff6364c5b70d6e5e1901195611e4a0a7592423375cab9,504b0304140006000800000021003d578734c6010000bf080000130008025b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File135,File135,5765224,363e3fb566ee15d4f4a5c35ceefbd5d1a5343f03,14ca718fd2c6718e4a31472da950627a,dbcc6774709f846bfd632ba7f29bc152b24a5afcd431e1c875a7e67e97c9f6b3,255044462d312e370d25e2e3cfd30d0a312030206f626a0a3c3c2f4163726f466f726d2035203020522f4c616e6728656e29,PDF,PDF_DOCUMENT
G:/Users\win10secu3\Documents\File\File136,File136,1809714,369cc313e0ff83e79e030eb69673e2287386f3d8,31bbd83292460bdfb30a7bd9ff9aaf4b,e9e9b42ee499b4d0e717bbfece1011af2127c9bc70dd9d1e8feb0a59e654c2f7,0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd5bb32449921e887daa66ee1e71,UNKNOWN,UNIDENTIFIED_FILE_TYPE
G:/Users\win10secu3\Documents\File\File137,File137,1359,892b34f7865d90a6f949f50d95e49625a10bc7f0,81543b22c36f10d20ac9712f8d80ef8d,36266a8fd073568394cb81cdb2b124f7fdae2c64c1a7ed09db34b4d22efa2951,426f6f737420536f667477617265204c6963656e7365202d2056657273696f6e20312e30202d204175677573742031377468,TXT,TEXT_FILE
G:/Users\win10secu3\Documents\File\File138,File138,663177,418baca3e862279dd832d4489d6a82d8665168ba,302b502d4e62ce9364d06014e544c095,41074035c291360d30b057eab0418219e3c531bb3186be50bb15bffbb8d7fb64,255044462d312e370a25e2e3cfd30a312030206f626a0a3c3c2f436f6c6f7253706163652f446576696365477261792f5375,PDF,PDF_DOCUMENT
G:/Users\win10secu3\Documents\File\File139,File139,168,de10d7b09c2b49ae3b8beda9ee949f1cf084a519,0618ec59c2401e95bc66f5f48bb46bdc,2c214b7b450719ebdfde3e695e521d5b68592086983ee6bec6b9cc8a9983fab2,406563686f206f66660d0a7365742073656e74656e6365733d48656c6c6f7c486f772061726520796f753f7c4e6963652077,BAT,BATCH_SCRIPT
